George Cybenko,"Thayer School of Engineering Dartmouth College, Hanover, NH, USA"
Yinghua Huang,"Huawei Technologies Co. Ltd., Beijing, China,Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Jiming Chen 0001,"Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Zheng Yan 0002,"Department of Comnet, Aalto University, Espoo, Finland,State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Wei Feng,"State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Pu Wang,"State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Gang Liang,"School of Computer Science, McGill University, Montreal, QC, Canada,Sichuan University, Chengdu, China"
Wenbo He,"School of Computer Science, McGill University, Montreal, QC, Canada"
Chun Xu,"College of Computer Science, Sichuan University, Chengdu, China"
Liangyin Chen,"College of Computer Science, Sichuan University, Chengdu, China"
Jinquan Zeng,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China"
Prem Prakash Jayaraman,"RMIT University, Melbourne, Vic., Australia"
João Bártolo Gomes,"DataRobot, Inc., Singapore"
Hai-Long Nguyen,"McLaren Applied Technologies Pte. Ltd., Singapore"
Zahraa Said Abdallah,"Monash University, Melbourne, Vic., Australia"
Shonali Krishnaswamy,"Institute for Infocomm Research (I2R), A*STAR, Singapore"
Arkady B. Zaslavsky,"CSIRO Digital Productivity Flagship, Melbourne, Vic., Australia"
Mianxiong Dong,"Muroran Institute of Technology, Hokkaido, Japan"
Rajiv Ranjan,"School of Computing Science, Newcastle University, Newcastle upon Tyne, U.K."
Albert Y. Zomaya,"Centre for Distributed and High Performance Computing School of Information Technologies, The University of Sydney, Sydney, N.S.W., Australia"
Man Lin,"Department of Computer Science, St. Francis Xavier University, Antigonish, Canada"
Katsuya Suto,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Keisuke Miyanabe,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Hiroki Nishiyama 0001,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Nei Kato,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Hirotaka Ujikawa,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Ken-Ichi Suzuki,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Mi Wen,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Kaoru Ota,"Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, Japan"
He Li 0001,"Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, Japan"
Jingsheng Lei,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Chunhua Gu,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Zhou Su,"School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China"
Yang Liu 0064,"Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA"
Shiyan Hu,"Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA"
Yuan Zhang 0006,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan, China"
Chunxiang Xu,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan, China"
Shui Yu,"School of Information Technology, Deakin University, Melbourne, Australia"
Hongwei Li 0001,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan, China,State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, China"
Xiaojun Zhang,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan, China,School of Computer Science, Southwest Petroleum University, Chengdu, Sichuan, China"
Charith Perera,"Department of Computing, Faculty of Maths, Computing, and Technology, Open University, Milton Keynes, U.K."
Dumidu S. Talagala,"Centre for Vision, Speech, and Signal Processing, University of Surrey, Guildford, U.K."
Chi Harold Liu,"Sejong University, Seoul, South Korea,The Beijing Institute of Technology, Beijing, China"
Júlio Cezar Estrella,"Institute of Mathematics and Computer Science (ICMC), University of São Paulo, São Paulo, Brazil"
Nikos Tziritas,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China"
Thanasis Loukopoulos,"Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece"
Samee U. Khan,"Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA"
Cheng-Zhong Xu 0001,"Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA,Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China"
Sudip Misra,"Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India"
Sumit Goswami,"Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India"
Chaynika Taneja,"Defence Research and Development Organization, New Delhi, India"
Farshad Salimi Naneh Karan,"Department of Mechanical Aerospace and Biomedical Engineering, The University of Tennessee, Knoxville, TN, USA"
Subhadeep Chakraborty,"Department of Mechanical Aerospace and Biomedical Engineering, The University of Tennessee, Knoxville, TN, USA"
Erica Briscoe,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Darren Scott Appling,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Joel Schlosser,"Georgia Tech Research Institute, Georgia Institute of Technology, Atlanta, GA, USA"
Zhe Liu 0002,"IBM Almaden Research Laboratory, San Jose, CA, USA"
Bernard J. Jansen,"Social Computing Group, Qatar Computing Research Institute, Doha, Qatar"
Chao Chen 0015,"School of Information Technology, Deakin University, Melbourne, Australia"
Jun Zhang 0010,"School of Information Technology, Deakin University, Melbourne, Australia"
Yi Xie 0002,"School of Information Science and Technology, Sun Yat-Sen University, Guangzhou, China"
Yang Xiang 0001,"School of Information Technology, Deakin University, Melbourne, Australia"
Wanlei Zhou,"School of Information Technology, Deakin University, Melbourne, Australia"
Mohammad Mehedi Hassan,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Abdulhameed Alelaiwi,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Kevin S. Xu 0001,
Nitin Agarwal,
Dongwon Lee 0001,
Nathaniel Osgood,
Yang Liu 0046,"New Jersey Institute of Technology, Newark, NJ, USA"
Songhua Xu,"New Jersey Institute of Technology, Newark, NJ, USA"
Qing Ping,"College of Computing & Informatics, Drexel, Philadelphia, PA, USA"
Christopher C. Yang,"College of Computing & Informatics, Drexel, Philadelphia, PA, USA"
Sarah A. Marshall,"Department of Biostatistical Sciences, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Nancy E. Avis,"Department of Social Sciences and Health Policy, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Edward H. Ip,"Department of Biostatistical Sciences and the Department of Social Sciences & Health Policy, Wake Forest School of Medicine, Winston-Salem, NC, USA"
Ngot Bui,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
John Yen,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
Vasant G. Honavar,"College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA"
Alireza Farasat,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Geoff A. Gross,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Rakesh Nagi,"Department of Industrial and Enterprise Systems Engineering, University of Illinois at Urbana–Champaign, Urbana, IL, USA"
Alexander G. Nikolaev,"Department of Industrial and Systems Engineering, University at Buffalo, The State University of New York, Buffalo, NY, USA"
Feng Xia 0001,"School of Software, Dalian University of Technology, Dalian, China"
Behrouz Jedari,"School of Software, Dalian University of Technology, Dalian, China"
Laurence Tianruo Yang,"Department of Computer Science, St. Francis Xavier University, Antigonish, Canada"
Jianhua Ma,"Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan"
Runhe Huang,"Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan"
Mehwish Nasim,"University of Konstanz, Konstanz, Germany"
Raphaël Charbey,"Telecom ParisTech, Paris, France"
Christophe Prieur,"Telecom ParisTech, Paris, France"
Ulrik Brandes,"University of Konstanz, Konstanz, Germany"
Srinka Basu,"Department of Engineering and Technological Studies, University of Kalyani, Kalyani, India"
Ujjwal Maulik,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
Oishik Chatterjee,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, India"
Camellia Sarkar,"Centre for Biosciences and Biomedical Engineering, IIT Indore, Indore, India"
Sarika Jalan,"Complex Systems Laboratory, Discipline of Physics, IIT Indore, Indore, India"
Duan-Shin Lee,"Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"
Cheng-Shang Chang,"Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan"
Ying Liu,"Premise Technology, Inc, Hsinchu, Taiwan"
Guangmo Amo Tong,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Shasha Li,"Ningbo Institute of Technology, Zhejiang University, Ningbo, China"
Weili Wu,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Ding-Zhu Du,"Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"
Torin Stepan,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Jason M. Morawski,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Scott Dick,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
James Miller 0001,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada"
Yuqing Mao,"School of Information Technology, Nanjing University of Chinese Medicine, Nanjing, China"
Haifeng Shen,"School of Computer Science, Engineering and Mathematics, Flinders University, Adelaide, SA, Australia"
Xiwang Yang,"Ads Delivery and Optimization at toutiao.com, Haidian, Beijing, China,New York University, New York, NY, USA"
Chao Liang,"Apple Inc., Cupertino, CA, USA,Alcatel-Lucent, Murray Hill, NJ, USA,New York University, Brooklyn, NY, USA"
Miao Zhao,"Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong"
Hongwei Wang 0004,"Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China,Department of Computing, The Hong Kong Polytechnic University, Kowloon, Hong Kong"
Hao Ding 0006,"Department of Electrical and Computer Engineering, New York University Tandon School of Engineering, Brooklyn, NY, USA"
Yong Liu 0013,"Department of Electrical and Computer Engineering, New York University Tandon School of Engineering, Brooklyn, NY, USA"
Yang Li,"Sina Weibo, Beijing, China"
Junlin Zhang,"Sina Weibo, Beijing, China"
Negar Foroutan Eghlidi,"Department of Computer Science and Engineering & IT, Shiraz University, Shiraz, Iran"
Ali Hamzeh,"Department of Computer Science and Engineering & IT, Shiraz University, Shiraz, Iran"
