Kevin Crowston,Syracuse University
Heinz Schmitz,Luxembourg Institute of Science and Technology
Peter David Tolmie,University of Warwick
Mark Rouncefield,Lancaster University
Arkaitz Zubiaga,Aalto University
Gianmarco de Morales,Aalto University
Michael Mathioudakis,CNRS
