"author","author_affiliation","author_country","coauthor","coauthor_affiliation","coauthor_country","year","area"
Xiao-Yang Liu,Columbia University,us,Cai Fu,Huazhong University of Science and Technology,cn,2020,tcss
Xiao-Yang Liu,Columbia University,us,Laurence T. Yang,Huazhong University of Science and Technology,cn,2020,tcss
Hongwei Li 0001,Chinese Academy of Sciences,cn,Shui Yu,University of Technology Sydney,au,2015,tcss
Hongwei Li 0001,Chinese Academy of Sciences,cn,Yuan Zhang 0006,UESTC,cn,2015,tcss
Hongwei Li 0001,Chinese Academy of Sciences,cn,Chunxiang Xu,UESTC,cn,2015,tcss
Yuan Zhang 0006,UESTC,cn,Shui Yu,University of Technology Sydney,au,2015,tcss
Yuan Zhang 0006,UESTC,cn,Hongwei Li 0001,Chinese Academy of Sciences,cn,2015,tcss
Yuan Zhang 0006,UESTC,cn,Chunxiang Xu,UESTC,cn,2015,tcss
Lingmin Wang,Zhejiang Sci-Tech University,cn,Huiling Jia,Zhejiang Sci-Tech University,cn,2019,tcss
Lingmin Wang,Zhejiang Sci-Tech University,cn,Lianggui Liu,Zhejiang Sci-Tech University,cn,2019,tcss
Samee U. Khan,Dakota State University,us,Cheng-Zhong Xu 0001,Chinese Academy of Sciences,cn,2015,tcss
Samee U. Khan,Dakota State University,us,Thanasis Loukopoulos,University of Thessaly,gr,2015,tcss
Samee U. Khan,Dakota State University,us,Nikos Tziritas,Chinese Academy of Sciences,cn,2015,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Ryan Wen Liu,Wuhan University,cn,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Piao Chen,Institute of High Performance Computing,sg,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Yauheni Pyrloh,Belarusian State University of Informatics and Radioelectronics,by,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Yechao Yang,Institute of High Performance Computing,sg,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Wei Jing,Institute of High Performance Computing,sg,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Zengxiang Li,Digital Research Institute,cn,2020,tcss
Zhe Xiao,Institute of High Performance Computing,sg,Rick Siow Mong Goh,Institute of High Performance Computing,sg,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Ryan Wen Liu,Wuhan University,cn,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Zhe Xiao,Institute of High Performance Computing,sg,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Piao Chen,Institute of High Performance Computing,sg,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Yauheni Pyrloh,Belarusian State University of Informatics and Radioelectronics,by,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Yechao Yang,Institute of High Performance Computing,sg,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Wei Jing,Institute of High Performance Computing,sg,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Zengxiang Li,Digital Research Institute,cn,2020,tcss
Ekanut Sotthiwat,King Mongkut's University of Technology Thonburi,th,Rick Siow Mong Goh,Institute of High Performance Computing,sg,2020,tcss
Xiaolin Gui,Xi'an Jiaotong University,cn,Jindong Cheng,Xi'an Jiaotong University,cn,2020,tcss
