Yang Xiang 0001,0,"School of Information Technology, Deakin University, Melbourne, Vic., Australia"
Wanlei Zhou,0,"School of Information Technology, Deakin University, Melbourne, Vic., Australia"
Mohammad Mehedi Hassan,0,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Abdulhameed Alelaiwi,0,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Majed A. AlRubaian,0,"College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia"
Hongyang Zhao,0,"Department of Computer Science, College of William and Mary, Williamsburg, VA, USA,Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Huan Zhou 0002,0,"Hubei Key Laboratory of Intelligent Vision Based Monitoring for Hydroelectric Engineering, College of Computer and Information Technology, China Three Gorges University, Yichang, China,Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Chengjue Yuan,0,"Key Laboratory of System Control and Information Processing, Ministry of Education of China, Department of Automation, Shanghai Jiao Tong University, Shanghai, China,Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Yinghua Huang,0,"Huawei Technologies Co. Ltd., Beijing, China,Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Jiming Chen 0001,0,"Cyber Innovation Joint Research Center, Zhejiang University, Hangzhou, China"
Zheng Yan 0002,0,"Department of Comnet, Aalto University, Espoo, Finland,State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Wei Feng,1,"State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Pu Wang,1,"State Key Laboratory on Integrated Services Networks, Xidian University, Xi’an, China"
Gang Liang,0,"School of Computer Science, McGill University, Montreal, QC, Canada,Sichuan University, Chengdu, China"
Wenbo He,0,"School of Computer Science, McGill University, Montreal, QC, Canada"
Chun Xu,0,"College of Computer Science, Sichuan University, Chengdu, China"
Liangyin Chen,0,"College of Computer Science, Sichuan University, Chengdu, China"
Jinquan Zeng,0,"School of Computer Science and Engineering, UESTC, Chengdu, China"
Prem Prakash Jayaraman,0,"RMIT University, Melbourne, Vic., Australia"
João Bártolo Gomes,0,"DataRobot, Inc., Singapore"
Hai-Long Nguyen,0,"McLaren Applied Technologies Pte. Ltd., Singapore"
Zahraa Said Abdallah,0,"Monash University, Melbourne, Vic., Australia"
Shonali Krishnaswamy,0,"Institute for Infocomm Research (I2R), A*STAR, Singapore"
Arkady B. Zaslavsky,0,"CSIRO Digital Productivity Flagship, Melbourne, Vic., Australia"
Mianxiong Dong,0,"Muroran Institute of Technology, Hokkaido, Japan"
Rajiv Ranjan,0,"School of Computing Science, Newcastle University, Newcastle upon Tyne, U.K."
Albert Y. Zomaya,0,"Centre for Distributed and High Performance Computing School of Information Technologies, The University of Sydney, Sydney, N.S.W., Australia"
Man Lin,0,"Department of Computer Science, St. Francis Xavier University, Antigonish, Canada"
Katsuya Suto,0,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Keisuke Miyanabe,0,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Hiroki Nishiyama 0001,0,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Nei Kato,0,"Graduate School of Information Sciences (GSIS), Tohoku University, Sendai, Japan"
Hirotaka Ujikawa,0,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Ken-Ichi Suzuki,0,"Access Network Service Systems Laboratories, NTT Corporation, Yokosuka, Japan"
Mi Wen,0,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Kaoru Ota,0,"Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, Japan"
He Li 0001,0,"Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, Japan"
Jingsheng Lei,0,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Chunhua Gu,0,"College of Computer Science and Technology, Shanghai University of Electric Power, Shanghai, China"
Zhou Su,0,"School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China"
Yang Liu 0064,0,"Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA"
Shiyan Hu,0,"Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA"
Yuan Zhang 0006,0,"School of Computer Science and Engineering, UESTC, Chengdu, Sichuan, China"
Chunxiang Xu,0,"School of Computer Science and Engineering, UESTC, Chengdu, Sichuan, China"
Shui Yu,0,"School of Information Technology, Deakin University, Melbourne, Australia"
Hongwei Li 0001,0,"School of Computer Science and Engineering, UESTC, Chengdu, Sichuan, China,State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciencess, China"
Xiaojun Zhang,1,"School of Computer Science and Engineering, UESTC, Chengdu, Sichuan, China,School of Computer Science, Southwest Petroleum University, Chengdu, Sichuan, China"
Charith Perera,0,"Department of Computing, Faculty of Maths, Computing, and Technology, Open University, Milton Keynes, U.K."
