Nikolas Daroit,University of Vale do Rio dos Sinos (UNISINOS)
Adenauer Corrêa Yamin,UFPE
Jennifer Golbeck,University of Maryland - College Park
Bogdan Gliwa,AGH University of Science and Technology
Anna Zygmunt,AGH University of Science and Technology
Jiawei Han 0001,University Illinois at Urbana-Champaign
Arkaitz Zubiaga,City University of New York
Heng Ji,Rensselaer Polytechnic Institute
Chhavi Rana,University Institute of Engineering and Technology
Sanjay Kumar Jain,National Institute of Technology
Ming-Feng Tsai,National Chengchi University
Chih-Wei Tzeng,National Chengchi University
Zhe-Li Lin,National Chengchi University
Arbee L. P. Chen,National Chengchi University
Anna Vartapetiance,University of Surrey
Lee Gillam,University of Surrey
Mathias R. Kuhnt,Dresden University of Technology
Oliver A. Brust,Dresden University of Technology
Ben Collingsworth,Florida Institute of Technology
Diana Palsetia,Northwestern University
Md. Mostofa Ali Patwary,Northwestern University
Ankit Agrawal,Northwestern University
Alok N. Choudhary,Northwestern University
Ali Rahmani,University of Calgary
Alan Chia-Lung Chen,University of Calgary
Abdullah Sarhan,University of Calgary
Jamal Jida,Lebanese University
Moshen Shahriari,Sharif University of Technology
Alexandru-Florin Tatar,CNRS
Panayotis Antoniadis,ETH Zurich
Marcelo Dias de Amorim,CNRS
Serge Fdida,CNRS
Md. Nafiz Hamid,Islamic University of Technology (IUT)
Md. Abu Naser,Islamic University of Technology (IUT)
Hasan Mahmud,Islamic University of Technology (IUT)
David Filonuk,Carnegie Mellon University
Geoffrey P. Morgan,Carnegie Mellon University
Bryan Perozzi,Stony Brook University
Malhar Anjaria,National Institute of Technology
Laurie Grieshober,State University of New York and Buffalo
Wenchang Xu,Tsinghua University
Hila Koren,University of Haifa
Ido Kaminer,Technion
Daphne R. Raban,University of Haifa
Sandipan Sikdar,Indian Institute of Technology
Konstantinos Pelechrinis,University of Pittsburgh
De Wang,Georgia Institute of Technology
Danesh Irani,Georgia Institute of Technology
Calton Pu,Georgia Institute of Technology
Tobias Hoßfeld,University of Würzburg
Valentin Burger,University of Würzburg
Haye Hinrichsen,University of Würzburg
Matthias Hirth,University of Würzburg
Phuoc Tran-Gia,University of Würzburg
James Abello,Rutgers University
Aibek Makazhanov,Nazarbayev University Research and Innovation System
Davood Rafiei,University of Alberta
Muhammad Waqar,University of Alberta
Aviad Elyashar,Ben-Gurion University of the Negev
Fred Morstatter,Carnegie Mellon University
Tianqing Zhu,Deakin University
Lei Pan 0002,Deakin University
Martine Collard,University of the French West Indies and Guiana
Eamonn O'Loughlin,University College Dublin
Diane Payne,University College Dublin
Acar Tamersoy,Georgia Institute of Technology
Elias B. Khalil,Georgia Institute of Technology
Bo Xie 0002,Georgia Institute of Technology
Bryan R. Routledge,Carnegie Mellon University
Shamkant B. Navathe,Georgia Institute of Technology
Lingfei Wu,Arizona State University
Robert Ackland,Australian National University
John Champaign,University of Waterloo
Robin Cohen,University of Waterloo
Noel Sardana,University of Waterloo
John A. Doucette,University of Waterloo
Petko Bogdanov,University of California - Santa Barbara
Michael Busch,University of California - Santa Barbara
Jeff Moehlis,University of California - Santa Barbara
Ambuj K. Singh,University of California - Santa Barbara
Daniel Archambault,Swansea University
Neil J. Hurley,University College Dublin
Pete Burnap,Cardiff University
Matthew L. Williams,Cardiff University
Luke Sloan,Cardiff University
Omer F. Rana,Cardiff University
William Housley,Cardiff University
Adam Edwards,Cardiff University
Vincent A. Knight,Cardiff University
Rob Procter,Warwick University
Alex Voss,St Andrews University
Yongli Ren,Deakin University
Gang Li 0009,Deakin University
Jun Zhang 0010,Deakin University
Wanlei Zhou,Deakin University
Américo Guerreiro,University of Porto
Theo Lins,Federal University of Minas Gerais
Adriano César Machado Pereira,Federal University of Minas Gerais
Sibel Adali,Rensselaer Polytechnic Institute
Alexey Uversky,Temple University
Dusan Ramljak,Temple University
Vladan Radosavljevic,Temple University
Kosta Ristovski,Temple University
Zoran Obradovic,Temple University
Ahmed Abdeen Hamed,University of Vermont
Xindong Wu 0001,University of Vermont
Alan Rubin,University of Vermont
Mingxiang Zhu,China University of Mining and Technology
Tianjie Cao,China University of Mining and Technology
Xiangying Jiang,China University of Mining and Technology
Lidan Fan,University of Texas at Tyler
Xuming Zhai,Taiyuan Institute of Technology
Kai Xing,University of Texas at Dallas
Wonjun Lee,University of Texas at Dallas
Ding-Zhu Du,Korea University
Gnana Thedchanamoorthy,University of Sydney
Shahadat Uddin,University of Sydney
Upul Senanayake,University of Sydney
Folke Mitzlaff,University of Kassel
Martin Atzmüller,University of Kassel
Andreas Hotho,University of Wuerzburg
Christoph Scholz 0001,University of Kassel
Martin Atzmueller,University of Kassel
Karthik Subbian,University of Minnesota
Dhruv Sharma,University of Minnesota
Zhen Wen,IBM
Vaibhav Bhembre,State University of New York at Buffalo
Joon S. Park,Syracuse University
Yifan Hao,New Mexico State University
Huiping Cao,New Mexico State University
Chuan Hu,New Mexico State University
Kabi Bhattarai,New Mexico State University
Satyajayant Misra,New Mexico State University
Md Abdul Alim,University of Florida
Ahmed Ibrahem Hafez,Minia University
Owen Sacco,National University of Ireland
Murat Kantarcioglu,University of Texas at Dallas
Dorit Baras,IBM
Amir Ronen,IBM
Elad Yom-Tov,Microsoft
Amin Javari,Sharif University of Technology
Miray Kas,Google
Mohsen JafariAsbagh,Indiana University
Onur Varol,Indiana University
Filippo Menczer,Indiana University
Alessandro Flammini,Indiana University
Gourab Ghoshal,Northeastern University
Giuseppe Mangioni,University of Catania
Julia Poncela-Casasnovas,Northwestern University
Tudor Dumitras,University of Maryland - College Park
B. Aditya Prakash,Virginia Tech
Mohammad Moshirpour,University of Calgary
Shimaa M. El-Sherif,University of Calgary
Behrouz H. Far,Global University
Steve Webb,Georgia Institute of Technology
Hancheng Ge,Texas A&M University
Marcos A. C. Oliveira,Florida Institute of Technology
Carmelo J. A. Bastos Filho,University of Pernambuco
Ronaldo Menezes,Florida Institute of Technology
Róbert Pálovics,Hungarian Academy of Sciences
András A. Benczúr,Technical University Budapest
William Frankenstein,Carnegie Mellon University
Tian Zheng,Columbia University
Jon Parker,Georgetown University
Andrew Yates,Johns Hopkins University
Nazli Goharian,Georgetown University
Ophir Frieder,Georgetown University
Rui Zeng,Yunnan Normal University
Quan Z. Sheng,University of Adelaide
Andrew Runka,Carleton University
Mahdi Abdelkafi,Miracl laboratory/ISIM/University of Sfax
Tanay Kumar Saha,Indiana University
Adriano Galati,University of Leeds
Chris Greenhalgh,University of Leeds
Soon Ae Chun,City University of New York
Zhi Wei,New Jersey Institute of Technology
James Geller,New Jersey Institute of Technology
Hemank Lamba,Carnegie Mellon University
Ramasuri Narayanam,IBM
Wenjun Wang 0004,University of Iowa
William Nick Street,University of Iowa
Tanmoy Chakraborty 0002,Indian Institute of Technology
Niloy Ganguly,Indian Institute of Technology
Animesh Mukherjee 0001,Indian Institute of Technology
Pedro Paredes 0002,Porto
Pedro Manuel Pinto Ribeiro,Porto
Adrien Guille,University of Lyon
Cécile Favre,University of Lyon
Ryota Tomioka,Toyota Technological Institute at Chicago
Kenji Yamanishi,University of Tokyo
Günce Keziban Orman,Galatasaray University
Jean-François Boulicaut,CNRS
R. Chulaka Gunasekara,Syracuse University
Kishan G. Mehrotra,Syracuse University
Chilukuri K. Mohan,Syracuse University
Adham Beykikhoshk,Deaking University
Ognjen Arandjelovic,Deaking University
Dinh Q. Phung,Deaking University
Svetha Venkatesh,Deaking University
Terry Caelli,Deaking University
Michael Brutz,University of Colorado
François G. Meyer,University of Colorado
Vasudev Bhat,Stony Brook University
Adheesh Gokhale,Stony Brook University
Ravi Jadhav,Stony Brook University
Jagat Sastry Pudipeddi,Stony Brook University
Leman Akoglu,Stony Brook University
Catherine Faron-Zucker,CNRS
Dimitrios Kotsakos,University of Athens
Panos Sakkos,University of Athens
Ioannis Katakis,University of Athens
Dimitrios Gunopulos,University of Athens
Faraz Zaidi,Levich Institute and Physics Department
Mohammad Qasim Pasta,Karachi Institute of Economics and Technology
Arnaud Sallaberry,Karachi Institute of Economics and Technology
Guy Melançon,Usman Institute of Technology
Yi-Cheng Peng,National Tsing Hua University
Jheng-He Liang,National Tsing Hua University
Fernando Calderon,National Tsing Hua University
Chung-Hao Chang,National Tsing Hua University
Ya-Ting Chuang,National Tsing Hua University
Tzu-Lung Chen,National Tsing Hua University
Elizabeth Kwan,National Tsing Hua University
Pranav Thulasiram Bhat,National Institute of Technology
Rohit Varkey Thankachan,National Institute of Technology
K. Chandrasekaran 0001,National Institute of Technology
Jalal S. Alowibdi,University of Jeddah
Ugo A. Buy,University of Illinois at Chicago
Philip S. Yu,University of Illinois at Chicago
Sohaib Ghani,Umm Al-Qura University
Mohamed F. Mokbel,Umm Al-Qura University
Giles Oatley,Cardiff Metropolitan University
Tom Crick,Cardiff Metropolitan University
Mahnaz Roshanaei,University of Colorado
Walid Magdy,Khalifa University
Hassan Sajjad,Khalifa University
Tarek El-Ganainy,Khalifa University
Emoke-Ágnes Horvát,Northwestern University
Bryan Ek,Rochester Institute of Technology
Pablo Blanc,Ciudad Universitaria
Mingming Chen,Rensselaer Polytechnic Institute
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Jichang Zhao,Beihang University
Ke Xu 0001,Beihang University
Christoph Trattner,NTNU
Masahiro Hamasaki,National Institute of Advanced Industrial Science and Technology (AIST)
Tai-Chi Wang,Academia Sinica
Frederick Kin Hing Phoa,Academia Sinica
Tun-Chieh Hsu,National Chengchi University
Maha Ben Kraiem,University of Sfax
Jamel Feki,University of Sfax
Kaïs Khrouf,University of Sfax
Franck Ravat,University of Toulouse
Olivier Teste,University of Toulouse
Kent Wickstrøm Jensen,University of Southern Denmark
Thomas Schott,University of Southern Denmark
Yuming Lin,Guilin University of Electronic Technology
Xiaoling Wang,East China Normal University
Aoying Zhou,East China Normal University
Sarah Bouraga,University of Namur
Ivan Jureta,University of Namur
Stéphane Faulkner,University of Namur
Dongjin Song,University of California - San Diego
David A. Meyer 0001,University of California - San Diego
Jesse R. Hammond,University of California - Davis
Sigal Sina,Bar Ilan University
Sarit Kraus,Bar Ilan University
Mehdi Kaytoue,CNRS
Yoann Pitarch,CNRS
Marc Plantevit,CNRS
Céline Robardet,CNRS
Afra Abnar,University of Alberta
Mansoureh Takaffoli,University of Alberta
Reihaneh Rabbany,University of Alberta
Osmar R. Zaïane,University of Alberta
Siddharth Bora,Indian Institute of Technology
Harvineet Singh,Indian Institute of Technology
Anirban Sen,Indian Institute of Technology
Amitabha Bagchi,Indian Institute of Technology
Parag Singla,Indian Institute of Technology
Stéphan Clémençon,CNRS
Héctor de Arazoza,CNRS
Viet-Chi Tran,CNRS
Amina Madani,Sciences Faculty Blida 1 University
Omar Boussaid,Lumiere Lyon 2 University
Jacob Dijkstra,University of Groningen
Srinka Basu,Jadavpur University
Ujjwal Maulik,Jadavpur University
Alireza Farasat,University at Buffalo
Alexander G. Nikolaev,University at Buffalo
Sargur N. Srihari,University at Buffalo
Rachael Hageman Blair,University at Buffalo
Saber Shokat Fadaee,Northeastern University
Mehrdad Farajtabar,Georgia Institute of Technology
Javed A. Aslam,Northeastern University
Nikos I. Passas,Northeastern University
Erick Stattner,University of the French West Indies and Guiana
Rabeb Mizouni,Khalifa University
Hadi Otrok,Khalifa University
Conny Kühne,Karlsruhe Institute of Technology
Klemens Böhm,Karlsruhe Institute of Technology
Engelbert Mephu Nguifo,CNRS
Clay Fink,Johns Hopkins University
Aurora Schmidt,Johns Hopkins University
Christopher J. Cameron,Cornell University
Michael Macy,Cornell University
Tamir Tassa,Open University
S. Venkatesan 0002,Indian Institute of Information Technology
Vladimir A. Oleshchuk,University of Agder
Chenniappan Chellappan,Anna University
Sourabh Prakash,Indian Institute of Information Technology
Sushant S. Khopkar,State University of New York at Buffalo
Rakesh Nagi,University of Illinois at Urbana-Champaign
Sumanth Patil,Utah State University
Kyumin Lee,Utah State University
Shengyu Huang,Arizona State University
Xinsheng Li,Arizona State University
K. Selçuk Candan,Arizona State University
Maria Luisa Sapino,University of Torino
Shannon Conley,Firat University
Sarwar Kamal,East West University Bangladesh
Mohammad Shamsul Arefin,Chittagong University of Engineering and Technology
Arash Nobari,Bu-Ali Sina University
Vahid Khodakarami,Bu-Ali Sina University
Reza Eslamipoor,Yazd University
Hassan Hosseini Nasab,Yazd University
Bin Zhou 0003,Southern Illinois University
Eva García Martín,Blekinge Institute of Technology
Niklas Lavesson,Blekinge Institute of Technology
Cong Liao,Pennsylvania State University
Anna Cinzia Squicciarini,Pennsylvania State University
Christopher Griffin 0001,United States Naval Academy
Sarah Michele Rajtmajer,Pennsylvania State University
Rémy Cazabet,National Institute of Informatics
Hideaki Takeda 0001,National Institute of Informatics
Mário Cordeiro,Porto University
Rui Sarmento,Porto University
Rolf T. Wigand,University of Arkansas
Serpil Tokdemir Yuce,University of Arkansas
Rafal Kasprzyk,Military University of Technology
Chen Avin,Ben Gurion University of the Negev
Zvi Lotker,Ben Gurion University of the Negev
David Peleg,University of Paris Diderot
Itzik Turkel,Weizmann Institute of Science
Fabrizio Sebastiani 0001,Khalifa University
Maarten Marx,University of Amsterdam
Michael Hamann,Karlsruhe Institute of Technology
Gerd Lindner,Karlsruhe Institute of Technology
Dorothea Wagner,Karlsruhe Institute of Technology
Cherry Ahmed,Cairo University
Abeer ElKorany,Cairo University
Reem Bahgat,Cairo University
Ryosuke Nishi,National Institute of Informatics
Keigo Oka,Tottori University
Takanori Maehara,National Institute of Informatics
Ken-ichi Kawarabayashi,National Institute of Information and Communications Technology
Ogheneovo Dibie,University of Colorado
Tamara Sumner,University of Colorado
Vladimir Batagelj,University of Ljubljana
Selena Praprotnik,University of Ljubljana
Saptarshi Chakraborty,VIT University
B. K. Tripathy,VIT University
Corey Pennycuff,University of Notre Dame
Tim Weninger,University of Notre Dame
Rostyslav Korolov,Rensselaer Polytechnic Institute
Justin Peabody,Washington University in St. Louis
Allen Lavoie,Washington University in St. Louis
Sanmay Das,Washington University in St. Louis
Malik Magdon-Ismail,Rensselaer Polytechnic Institute
William A. Wallace,Rensselaer Polytechnic Institute
Peng Xia,University of Massachusetts
Shuangfei Zhai,Binghamton Univeristy
Benyuan Liu,University of Massachusetts
Yizhou Sun,Northeastern University
Cindy X. Chen,University of Massachusetts
Reza Farahbakhsh,CNRS
Ángel Cuevas,CNRS
Angelo Corallo,University of Salento
Cristian Bisconti,University of Salento
Laura Fortunato,University of Salento
Antonio Andrea Gentile,University of Bristol
Amira Soliman 0001,Royal Institute of Technology (KTH)
Leila Bahri,Insubria University
Barbara Carminati,Insubria University
Elena Ferrari,Insubria University
Billel Hamadache,Badji Mokhtar Annaba-University
Hassina Seridi-Bouchelaghem,Badji Mokhtar Annaba-University
Nadir Farah,Badji Mokhtar Annaba-University
Davide Vega,University of Bologna
Robert J. Mokken,University of Amsterdam
Steven Laan,University of Amsterdam
Monika Singh,PEC University of Technology
Divya Bansal,PEC University of Technology
Sanjeev Sofat,PEC University of Technology
Santi Phithakkitnukoon,Chiang Mai University
Francisco Louçã,Lisbon University
David F. Nettleton,Universitat Pompeu Fabra
Frans Coenen,University of Liverpool
Rob M. Christley,University of Liverpool
Maria Patrizia Vittoria,Institute for Research on Innovation and Services for Development (IRISS)
Pasquale Napolitano,Institute for Research on Innovation and Services for Development (IRISS)
Iasonas Polakis,Columbia University
Frank Garcea,University of Rochester
Bradford Z. Mahon,University of Rochester
Jose Cadena,Virginia Tech
Achla Marathe,Virginia Tech
Anil Vullikanti,Virginia Tech
Wei Wei 0019,Carnegie Mellon University
Kenneth Joseph,Carnegie Mellon University
Huan Liu 0001,Arizona State University
Khaled Almgren,University of Bridgeport
Dharshana Kasthurirathna,University of Sydney
Michael Harré,University of Sydney
Mahendra Piraveenan,University of Sydney
Joydip Dhar,Indian Institute of Information Technology
Bijan Ranjbar Sahraei,Maastricht University
Haitham Bou-Ammar,Princeton University
Karl Tuyls,University of Liverpool
Gerhard Weiss,Maastricht University
Anna Monreale,University of Pisa
Alireza Rezvanian,Amirkabir University of Technology
Mohammad Reza Meybodi,Amirkabir University of Technology
Mohamed Shehab,University of North Carolina
Hakim Touati,University of North Carolina
Yousra Javed,University of North Carolina
Alankar Jain,IBM
Vivek S. Borkar,IIT Bombay
Dinesh Garg,IIT Gandhinagar
Elham Shaabani,Arizona State University
Abhinav Bhatnagar,Arizona State University
Anita Zakrzewska,Georgia Institute of Technology
Hariton Efstathiades,University of Cyprus
Demetris Antoniades,University of Cyprus
George Pallis 0001,University of Cyprus
Marios D. Dikaiakos,University of Cyprus
Bo Gao 0002,KU Leuven
Bettina Berendt,KU Leuven
Joaquin Vanschoren,TU Eindhoven
Danilo Montesi,University of Bologna
Hira Zaheer,Indian Institute of Technology
Farsad Zamani Boroujeni,Islamic Azad University
Mohammad Behnia,Islamic Azad University
Simindokht Jahangard,Amirkabir University of Technology
Christopher M. Smith,Air Force Institute of Technology
William T. Scherer,University of Virginia
Andrew Todd,University of Virginia
Saeed NasehiMoghaddam,University of Zanjan
