Alvin W. Wolfe,University of South Florida
David Knoke,University of Minnesota
Robert A. Hanneman,University of California - Riverside
Christian R. Shelton,University of California - Riverside
Charalampos E. Tsourakakis,Carnegie Mellon University
Petros Drineas,Rensselaer Polytechnic Institute
Eirinaios Michelakis,University of California - Berkeley
Ioannis Koutis,Carnegie Mellon University
Frédéric Gilbert 0001,CNRS
Paolo Simonetto,CNRS
Romain Bourqui,CNRS
Troy Raeder,University of Notre Dame
Hossam Sharara,University of Maryland - College Park
Lisa Singh,Georgetown University
Lise Getoor,University of Maryland - College Park
Janet Mann,Georgetown University
Claudia Müller-Birn,Carnegie Mellon University
Andreas Erber,University of Potsdam
Sebastian Burkhart,University of Potsdam
Robert Schmidl,University of Potsdam
Ankush Garg,University of California - Davis
Muhaimenul Adnan,University of Calgary
Keivan Kianmehr,University of Calgary
Michael Kaufmann 0001,University of Tübingen
Leyla Zhuhadar,University of Louisville
Olfa Nasraoui,University of Louisville
Mohamed Fazeen,University of North Texas
Ram Dantu,University of North Texas
Parthasarathy Guturu,University of North Texas
Sherief Abdallah,University of Edinburgh
Di Wang 0001,University of Manchester
Alistair G. Sutcliffe,University of Manchester
Xiao-Jun Zeng,University of Manchester
Li Chen 0009,Hong Kong Baptist University
Luole Qi,Hong Kong Baptist University
Manh Cuong Pham,RWTH Aachen
Ralf Klamma,RWTH Aachen
Matthias Jarke,RWTH Aachen
Chee Siang Ang,University of Kent
Sally Hamouda,Cairo University
Wei Zhang 0050,Xi'an Jiaotong University
Kuai Xu,Arizona State University
Leandros A. Maglaras,University of Thessaly
Dimitrios Katsaros 0001,University of Thessaly
Yi-Kuang Ko,National Taiwan University
Jing-Kai Lou,National Taiwan University
Shyh-Kang Jeng,National Taiwan University
Tomoyuki Yuasa,University of Tokyo
Susumu Shirayama,University of Tokyo
Lin Chen 0012,Queensland University of Technology
Yingzi Jin,University of Tokyo
Ching-Yung Lin,IBM
Yutaka Matsuo,University of Tokyo
Mitsuru Ishizuka,University of Tokyo
Meeyoung Cha,KAIST
Hamed Haddadi,University of London
Aixin Sun,Nanyang Technological University
Guangying Hua,Bentley University
Dominique Haughton,Bentley University
Vasanth Nair,Louisiana Tech University
Sumeet Dua,Louisiana Tech University
Mahadevan Vasudevan,University of Central Florida
Narsingh Deo,University of Central Florida
Achim Rettinger,Karlsruhe Institute of Technology
James Caverlee,Texas A&M University
Christophe Thovex,CNRS
Francky Trichet,CNRS
Moonam Ko,University of North Carolina
Darcy A. Davis,University of Notre Dame
Ryan Lichtenwalter,University of Notre Dame
Nitesh V. Chawla,University of Notre Dame
Zeinab Liaghat,Pompeu Fabra University
Amir Hossein Rasekh,Islamic Azad University
Ala Mahdavi,Sharif University of Technology
Santhanakrishnan Anand,Stevens Institute of Technology
Rajarathnam Chandramouli,Stevens Institute of Technology
Koduvayur P. Subbalakshmi,Stevens Institute of Technology
Mukundan Venkataraman,Stevens Institute of Technology
Amit Goyal 0002,University of British Columbia
Laks V. S. Lakshmanan,University of British Columbia
Suresh Venkatasubramanian,University of Utah
Peter Lachenmaier,Bundeswehr University Munich
Florian Ott,Bundeswehr University Munich
Michael Koch 0001,Bundeswehr University Munich
Sharath Hiremagalore,George Mason University
Angelos Stavrou,George Mason University
Huzefa Rangwala,George Mason University
André Nichterlein,TU Berlin
Johannes Uhlmann,TU Berlin
Mathias Weller,TU Berlin
G. Poornalatha,National Institute of Technology
Prakash S. Raghavendra,National Institute of Technology
Ram Babu Roy,Indian Institute of Management
Uttam Kumar Sarkar,Indian Institute of Management
Juan Lang,University of California - Davis
Shyhtsun Felix Wu,University of California - Davis
Sukru Tikves,Arizona State University
Sujogya Banerjee,Arizona State University
Hamy Temkit,Arizona State University
Sedat Gokalp,Arizona State University
Arunabha Sen,Arizona State University
Steven R. Corman,Arizona State University
Mark Woodward,Arizona State University
Shreejay Nair,Arizona State University
Dana Popovici,CNRS
Mikael Desertot,CNRS
Sylvain Lecomte,CNRS
Thierry Delot,CNRS
Tsung-Ting Kuo,National Taiwan University
Chien-Tung Ho,National Taiwan University
San-Chuan Hung,National Taiwan University
Wei-Shih Lin,National Taiwan University
Sean Chester,University of Victoria
Bruce M. Kapron,University of Victoria
Gautam Srivastava,University of Victoria
S. Venkatesh 0001,University of Victoria
Kalapriya Kannan,IBM
Munish Goyal,IBM
George T. Jacob,IBM
Hao-Fan Yang,Queensland University of Technology
Jinglan Zhang,Queensland University of Technology
Paul Roe,Queensland University of Technology
Martin Cadeiras,University of California - Los Angeles
Kirill Dyagilev,Technion
Shie Mannor,IBM
Nancy Samaan,University of Ottawa
Andreas Harrer,Catholic University
Alona Schmidt,Catholic University
Jeanette B. Ruiz,University of California - Davis
Zhige Xin,University of California - Davis
Nikolay Korovaiko,University of Victoria
Alex Thomo,University of Victoria
Jyi-Shane Liu,National Chengchi University
Ke-Chih Ning,National Chengchi University
Wan-Chun Chuang,National Chengchi University
Ee-Peng Lim,Singapore Management University
Stuart W. Shulman,University of Massachusetts
Yazhe Wang,Singapore Management University
Baihua Zheng,Singapore Management University
John L. Pfaltz,University of Virginia
Guido Sautter,Karlsruhe Institute of Technology
Nicolas Kourtellis,University of South Florida
Ramanuja Simha,University of Delaware
Rahul Tripathi,University of South Florida
Zachary Neal,Michigan State University
Yue Wang 0009,University of North Carolina
Yuan Yao 0001,Nanjing University
Hanghang Tong,Nanjing University
Feng Xu 0007,CUNY
Jian Lu 0001,Nanjing University
Zhiyong Zhang 0002,Xi'an Jiaotong University
Zoheb Hassan Borbora,University of Minnesota
Muhammad Aurangzeb Ahmad,University of Minnesota
Jehwan Oh,University of Minnesota
Tetsuya Yoshida,Hokkaido University
Justin Fagnan,University of Alberta
Ricardo J. G. B. Campello,University of Alberta
Onur Küçüktunç,Ohio State University
Kamer Kaya,Ohio State University
Erik Saule,Ohio State University
Ümit V. Çatalyürek,Ohio State University
Xia Hu,Arizona State University
Andrea Ballatore,University College Dublin
Ilaria Tiddi,Open University
Michael K. Martin,Carnegie Mellon University
Aparna Gullapalli,Carnegie Mellon University
Daniel Faria Bernardes,CNRS
Fabien Tarissan,CNRS
Mahmoudreza Babaei,Sharif University of Technology
Baharan Mirzasoleiman,Sharif University of Technology
Mohammad Ali Safari,Sharif University of Technology
Charles Perez,CNRS
Babiga Birregah,CNRS
Marc Lemercier,CNRS
Peter Grindrod,University of Oxford
Eiko Yoneki,University of Cambridge
C. A. Piña-García,University of Essex
Dongbing Gu,University of Essex
Yi-Chen Lo,National Taiwan University
Hung-Che Lai,National Taiwan University
Cheng-Te Li,National Taiwan University
Shou-De Lin,National Taiwan University
Wen Xu 0005,University of Texas at Dallas
Zaixin Lu,University of Texas at Dallas
Carson Kai-Sang Leung,University of Manitoba
Syed Khairuzzaman Tanbeer,University of Manitoba
Juan J. Cameron,University of Manitoba
Jeffrey Chan,University of Melbourne
Chanhyun Kang,University of Maryland - College Park
Andrea Pugliese 0001,University of Calabria
John Grant,University of Maryland - College Park
V. S. Subrahmanian,University of Maryland - College Park
Adenauer Corrêa Yamin,UFPE
Jennifer Golbeck,University of Maryland - College Park
Arkaitz Zubiaga,City University of New York
Heng Ji,Rensselaer Polytechnic Institute
Sanjay Kumar Jain,National Institute of Technology
Ming-Feng Tsai,National Chengchi University
Chih-Wei Tzeng,National Chengchi University
Zhe-Li Lin,National Chengchi University
Arbee L. P. Chen,National Chengchi University
Anna Vartapetiance,University of Surrey
Lee Gillam,University of Surrey
Colin Cooper,King's College London
Tomasz Radzik,King's College London
Yiannis Siantos,King's College London
Diana Palsetia,Northwestern University
Md. Mostofa Ali Patwary,Northwestern University
Ankit Agrawal,Northwestern University
Alok N. Choudhary,Northwestern University
Ali Rahmani,University of Calgary
Alan Chia-Lung Chen,University of Calgary
Abdullah Sarhan,University of Calgary
Moshen Shahriari,Sharif University of Technology
Alexandru-Florin Tatar,CNRS
Panayotis Antoniadis,ETH Zurich
Marcelo Dias de Amorim,CNRS
Serge Fdida,CNRS
Md. Nafiz Hamid,Islamic University of Technology (IUT)
Md. Abu Naser,Islamic University of Technology (IUT)
Hasan Mahmud,Islamic University of Technology (IUT)
David Filonuk,Carnegie Mellon University
Geoffrey P. Morgan,Carnegie Mellon University
Bryan Perozzi,Stony Brook University
Malhar Anjaria,National Institute of Technology
Wenchang Xu,Tsinghua University
Hila Koren,University of Haifa
Ido Kaminer,Technion
Daphne R. Raban,University of Haifa
Konstantinos Pelechrinis,University of Pittsburgh
De Wang,Georgia Institute of Technology
Danesh Irani,Georgia Institute of Technology
Calton Pu,Georgia Institute of Technology
Tobias Hoßfeld,University of Würzburg
Valentin Burger,University of Würzburg
Haye Hinrichsen,University of Würzburg
Matthias Hirth,University of Würzburg
Phuoc Tran-Gia,University of Würzburg
James Abello,Rutgers University
Davood Rafiei,University of Alberta
Muhammad Waqar,University of Alberta
Aviad Elyashar,Ben-Gurion University of the Negev
Fred Morstatter,Carnegie Mellon University
Tianqing Zhu,Deakin University
Lei Pan 0002,Deakin University
Eamonn O'Loughlin,University College Dublin
Diane Payne,University College Dublin
Acar Tamersoy,Georgia Institute of Technology
Elias B. Khalil,Georgia Institute of Technology
Bo Xie 0002,Georgia Institute of Technology
Bryan R. Routledge,Carnegie Mellon University
Shamkant B. Navathe,Georgia Institute of Technology
Lingfei Wu,Arizona State University
Robert Ackland,Australian National University
John Champaign,University of Waterloo
Robin Cohen,University of Waterloo
Noel Sardana,University of Waterloo
John A. Doucette,University of Waterloo
Petko Bogdanov,University of California - Santa Barbara
Michael Busch,University of California - Santa Barbara
Jeff Moehlis,University of California - Santa Barbara
Ambuj K. Singh,University of California - Santa Barbara
Daniel Archambault,Swansea University
Neil J. Hurley,University College Dublin
Pete Burnap,Cardiff University
Matthew L. Williams,Cardiff University
Luke Sloan,Cardiff University
Omer F. Rana,Cardiff University
William Housley,Cardiff University
Adam Edwards,Cardiff University
Vincent A. Knight,Cardiff University
Yongli Ren,Deakin University
Gang Li 0009,Deakin University
Jun Zhang 0010,Deakin University
Wanlei Zhou,Deakin University
Américo Guerreiro,University of Porto
Theo Lins,Federal University of Minas Gerais
Adriano César Machado Pereira,Federal University of Minas Gerais
Sibel Adali,Rensselaer Polytechnic Institute
Alexey Uversky,Temple University
Dusan Ramljak,Temple University
Vladan Radosavljevic,Temple University
Kosta Ristovski,Temple University
Zoran Obradovic,Temple University
Lidan Fan,University of Texas at Tyler
Kai Xing,University of Texas at Dallas
Wonjun Lee,University of Texas at Dallas
Ding-Zhu Du,Korea University
Gnana Thedchanamoorthy,University of Sydney
Shahadat Uddin,University of Sydney
Upul Senanayake,University of Sydney
Folke Mitzlaff,University of Kassel
Martin Atzmüller,University of Kassel
Christoph Scholz 0001,University of Kassel
Martin Atzmueller,University of Kassel
Karthik Subbian,University of Minnesota
Dhruv Sharma,University of Minnesota
Zhen Wen,IBM
Vaibhav Bhembre,State University of New York at Buffalo
Joon S. Park,Syracuse University
Yifan Hao,New Mexico State University
Huiping Cao,New Mexico State University
Chuan Hu,New Mexico State University
Kabi Bhattarai,New Mexico State University
Satyajayant Misra,New Mexico State University
Md Abdul Alim,University of Florida
Owen Sacco,National University of Ireland
Murat Kantarcioglu,University of Texas at Dallas
Dorit Baras,IBM
Amir Ronen,IBM
Elad Yom-Tov,Microsoft
Amin Javari,Sharif University of Technology
Miray Kas,Google
Mohsen JafariAsbagh,Indiana University
Onur Varol,Indiana University
Filippo Menczer,Indiana University
Alessandro Flammini,Indiana University
Gourab Ghoshal,Northeastern University
Julia Poncela-Casasnovas,Northwestern University
Tudor Dumitras,University of Maryland - College Park
B. Aditya Prakash,Virginia Tech
Mohammad Moshirpour,University of Calgary
Shimaa M. El-Sherif,University of Calgary
Steve Webb,Georgia Institute of Technology
Hancheng Ge,Texas A&M University
Róbert Pálovics,Hungarian Academy of Sciences
William Frankenstein,Carnegie Mellon University
Tian Zheng,Columbia University
Jon Parker,Georgetown University
Andrew Yates,Johns Hopkins University
Nazli Goharian,Georgetown University
Ophir Frieder,Georgetown University
Quan Z. Sheng,University of Adelaide
Andrew Runka,Carleton University
Tanay Kumar Saha,Indiana University
Adriano Galati,University of Leeds
Chris Greenhalgh,University of Leeds
Soon Ae Chun,City University of New York
Zhi Wei,New Jersey Institute of Technology
James Geller,New Jersey Institute of Technology
Hemank Lamba,Carnegie Mellon University
Ramasuri Narayanam,IBM
Wenjun Wang 0004,University of Iowa
William Nick Street,University of Iowa
Ryota Tomioka,Toyota Technological Institute at Chicago
Kenji Yamanishi,University of Tokyo
Jean-François Boulicaut,CNRS
R. Chulaka Gunasekara,Syracuse University
Kishan G. Mehrotra,Syracuse University
Chilukuri K. Mohan,Syracuse University
Michael Brutz,University of Colorado
François G. Meyer,University of Colorado
Vasudev Bhat,Stony Brook University
Adheesh Gokhale,Stony Brook University
Ravi Jadhav,Stony Brook University
Jagat Sastry Pudipeddi,Stony Brook University
Leman Akoglu,Stony Brook University
Catherine Faron-Zucker,CNRS
Dimitrios Kotsakos,University of Athens
Panos Sakkos,University of Athens
Ioannis Katakis,University of Athens
Dimitrios Gunopulos,University of Athens
Yi-Cheng Peng,National Tsing Hua University
Jheng-He Liang,National Tsing Hua University
Fernando Calderon,National Tsing Hua University
Chung-Hao Chang,National Tsing Hua University
Ya-Ting Chuang,National Tsing Hua University
Tzu-Lung Chen,National Tsing Hua University
Elizabeth Kwan,National Tsing Hua University
Pranav Thulasiram Bhat,National Institute of Technology
Rohit Varkey Thankachan,National Institute of Technology
K. Chandrasekaran 0001,National Institute of Technology
Ugo A. Buy,University of Illinois at Chicago
Philip S. Yu,University of Illinois at Chicago
Mahnaz Roshanaei,University of Colorado
Walid Magdy,Khalifa University
Hassan Sajjad,Khalifa University
Tarek El-Ganainy,Khalifa University
Emoke-Ágnes Horvát,Northwestern University
Bryan Ek,Rochester Institute of Technology
Mingming Chen,Rensselaer Polytechnic Institute
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Jichang Zhao,Beihang University
Ke Xu 0001,Beihang University
Christoph Trattner,NTNU
Tai-Chi Wang,Academia Sinica
Frederick Kin Hing Phoa,Academia Sinica
Tun-Chieh Hsu,National Chengchi University
Yuming Lin,Guilin University of Electronic Technology
Sarah Bouraga,University of Namur
Ivan Jureta,University of Namur
Stéphane Faulkner,University of Namur
Dongjin Song,University of California - San Diego
David A. Meyer 0001,University of California - San Diego
Jesse R. Hammond,University of California - Davis
Sigal Sina,Bar Ilan University
Sarit Kraus,Bar Ilan University
Mehdi Kaytoue,CNRS
Yoann Pitarch,CNRS
Marc Plantevit,CNRS
Céline Robardet,CNRS
Afra Abnar,University of Alberta
Mansoureh Takaffoli,University of Alberta
Reihaneh Rabbany,University of Alberta
Osmar R. Zaïane,University of Alberta
Stéphan Clémençon,CNRS
Héctor de Arazoza,CNRS
Viet-Chi Tran,CNRS
Jacob Dijkstra,Interuniversity Center for Social Science Theory and Methodology
Srinka Basu,Jadavpur University
Ujjwal Maulik,Jadavpur University
Alireza Farasat,University at Buffalo
Alexander G. Nikolaev,University at Buffalo
Sargur N. Srihari,University at Buffalo
Rachael Hageman Blair,University at Buffalo
Saber Shokat Fadaee,Northeastern University
Mehrdad Farajtabar,Georgia Institute of Technology
Javed A. Aslam,Northeastern University
Nikos I. Passas,Northeastern University
Rabeb Mizouni,Khalifa University
Hadi Otrok,Khalifa University
Conny Kühne,Karlsruhe Institute of Technology
Klemens Böhm,Karlsruhe Institute of Technology
Engelbert Mephu Nguifo,CNRS
Clay Fink,Johns Hopkins University
Aurora Schmidt,Johns Hopkins University
Christopher J. Cameron,Cornell University
Michael Macy,Cornell University
Tamir Tassa,Open University
S. Venkatesan 0002,Indian Institute of Information Technology
Sourabh Prakash,Indian Institute of Information Technology
Sushant S. Khopkar,State University of New York at Buffalo
Rakesh Nagi,University of Illinois at Urbana-Champaign
Sumanth Patil,Utah State University
Kyumin Lee,Utah State University
Shengyu Huang,Arizona State University
Xinsheng Li,Arizona State University
K. Selçuk Candan,Arizona State University
Maria Luisa Sapino,University of Torino
Bin Zhou 0003,Southern Illinois University
Cong Liao,Pennsylvania State University
Anna Cinzia Squicciarini,Pennsylvania State University
Sarah Michele Rajtmajer,Pennsylvania State University
Rolf T. Wigand,University of Arkansas
Serpil Tokdemir Yuce,University of Arkansas
Chen Avin,Ben Gurion University of the Negev
Zvi Lotker,Ben Gurion University of the Negev
Itzik Turkel,Weizmann Institute of Science
Fabrizio Sebastiani 0001,Khalifa University
Maarten Marx,University of Amsterdam
Michael Hamann,Karlsruhe Institute of Technology
Gerd Lindner,Karlsruhe Institute of Technology
Dorothea Wagner,Karlsruhe Institute of Technology
Cherry Ahmed,Cairo University
Abeer ElKorany,Cairo University
Reem Bahgat,Cairo University
Ogheneovo Dibie,University of Colorado
Tamara Sumner,University of Colorado
Vladimir Batagelj,University of Ljubljana
Selena Praprotnik,University of Ljubljana
Corey Pennycuff,University of Notre Dame
Tim Weninger,University of Notre Dame
Rostyslav Korolov,Rensselaer Polytechnic Institute
Justin Peabody,Washington University in St. Louis
Allen Lavoie,Washington University in St. Louis
Sanmay Das,Washington University in St. Louis
Malik Magdon-Ismail,Rensselaer Polytechnic Institute
William A. Wallace,Rensselaer Polytechnic Institute
Peng Xia,University of Massachusetts
Benyuan Liu,University of Massachusetts
Yizhou Sun,Northeastern University
Cindy X. Chen,University of Massachusetts
Reza Farahbakhsh,CNRS
Ángel Cuevas,CNRS
Angelo Corallo,University of Salento
Cristian Bisconti,University of Salento
Laura Fortunato,University of Salento
Antonio Andrea Gentile,University of Bristol
Davide Vega,University of Bologna
Robert J. Mokken,University of Amsterdam
Steven Laan,University of Amsterdam
Francisco Louçã,Lisbon University
David F. Nettleton,Universitat Pompeu Fabra
Frans Coenen,University of Liverpool
Rob M. Christley,University of Liverpool
Iasonas Polakis,Columbia University
Frank Garcea,University of Rochester
Bradford Z. Mahon,University of Rochester
Jose Cadena,Virginia Tech
Achla Marathe,Virginia Tech
Anil Vullikanti,Virginia Tech
Wei Wei 0019,Carnegie Mellon University
Kenneth Joseph,Carnegie Mellon University
Huan Liu 0001,Arizona State University
Dharshana Kasthurirathna,University of Sydney
Michael Harré,University of Sydney
Mahendra Piraveenan,University of Sydney
Joydip Dhar,Indian Institute of Information Technology
Bijan Ranjbar Sahraei,Maastricht University
Haitham Bou-Ammar,Princeton University
Karl Tuyls,University of Liverpool
Gerhard Weiss,Maastricht University
Anna Monreale,University of Pisa
Mohamed Shehab,University of North Carolina
Hakim Touati,University of North Carolina
Yousra Javed,University of North Carolina
Alankar Jain,IBM
Vivek S. Borkar,IIT Bombay
Dinesh Garg,IIT Gandhinagar
Elham Shaabani,Arizona State University
Abhinav Bhatnagar,Arizona State University
