Guillaume Cabanac,"Institut de Recherche en Informatique de Toulouse (IRIT), Université de Toulouse, Toulouse, France"
Darko Obradovic,"German Research Center for AI (DFKI),  University of Kaiserslautern, Kaiserslautern, Germany"
Stephan Baumann 0001,"German Research Center for AI (DFKI), Berlin, Germany"
Andreas Dengel 0001,"German Research Center for AI (DFKI),  University of Kaiserslautern, Kaiserslautern, Germany"
Inayah Rohmaniyah,"Center for Religious and Cross Cultural Studies, Gadjah Mada University, Yogyakarta, Indonesia"
Ali Amin,"State College of Islamic Studies (STAIN), Manado, Indonesia"
Vinti Agarwal,"School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi, India"
Kamal Kant Bharadwaj,"School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi, India"
Ganesh Ramesh,"Yahoo! Inc., Santa Clara, USA"
Sandra A. Vannoy,"Department of Computer Information Systems, Walker College of Business, Appalachian State University, Boone, USA"
Charlie C. Chen,"Department of Computer Information Systems, Walker College of Business, Appalachian State University, Boone, USA"
B. Dawn Medlin,"Department of Computer Information Systems, Walker College of Business, Appalachian State University, Boone, USA"
Srividhya Venugopal,"Department of Computer Sciences, Florida Institute of Technology, Melbourne, USA"
Evan Stoner,"Department of Computer Sciences, Florida Institute of Technology, Melbourne, USA"
Silvana Rossy de Brito,"Federal Rural University of Amazônia (UFRA), Belém, Brazil"
Aleksandra do Socorro da Silva,"Federal Rural University of Amazônia (UFRA), Belém, Brazil"
Dalton Lopes Martins,"Technology Faculty of São Paulo (FATEC), São Paulo, Brazil"
Nandamudi Lankalapalli Vijaykumar,"National Institute for Space Research (INPE), SP, Brazil"
Cláudio Alex Jorge da Rocha,"Federal Institute of Pará (IFPA), Belém, Brazil"
João Crisóstomo Weyl Albuquerque Costa,"Federal University of Pará (UFPA), Belém, Brazil"
Carlos Renato Lisboa Francês,"Federal University of Pará (UFPA), Belém, Brazil"
Marcin Budka,"Bournemouth University, Poole, UK"
Krzysztof Juszczyszyn,"Wroclaw University of Technology, Wroclaw, Poland"
Katarzyna Musial,"Kings College London, London, UK"
Anna Musial,"Wroclaw University of Technology, Wroclaw, Poland"
Mohamed M. Mostafa,"Gulf University for Science and Technology, Kuwait, Kuwait"
Idrissa Sarr,"Université Cheikh Anta Diop, Dakar, Senegal"
Romain Lalande,"Université du Québec en Outaouais (UQO), Gatineau, Canada"
Dieudonné Tchuente,"IRIT, University of Toulouse, Toulouse, France"
C. Marie-Françoise Canut,"IRIT, University of Toulouse, Toulouse, France"
Nadine Jessel,"IRIT, University of Toulouse, Toulouse, France"
André Péninou,"IRIT, University of Toulouse, Toulouse, France"
Michal Jankowski-Lorek,"Polish-Japanese Institute of Information Technology, Warsaw, Poland"
Lukasz Ostrowski,"Polish-Japanese Institute of Information Technology, Warsaw, Poland"
Piotr Turek,"Polish-Japanese Institute of Information Technology, Warsaw, Poland"
Adam Wierzbicki,"Polish-Japanese Institute of Information Technology, Warsaw, Poland"
Sridhar Mandyam,"Ecometrix Research, Bangalore, India"
Usha Sridhar,"Ecometrix Research, Bangalore, India"
Paolo Boldi,"Dipartimento di Informatica, Università degli Studi di Milano, Milan, Italy"
Marco Rosa,"Dipartimento di Informatica, Università degli Studi di Milano, Milan, Italy"
Sebastiano Vigna,"Dipartimento di Informatica, Università degli Studi di Milano, Milan, Italy"
Eva Zangerle,"Databases and Information Systems Institute of Computer Science, University of Innsbruck, Innsbruck, Austria"
Wolfgang Gassler,"Databases and Information Systems Institute of Computer Science, University of Innsbruck, Innsbruck, Austria"
Günther Specht,"Databases and Information Systems Institute of Computer Science, University of Innsbruck, Innsbruck, Austria"
Tharaka Alahakoon,"Norcross, USA"
Kanliang Wang,"Electronics Information Engineering College, Henan University of Science and Technology, Luoyang, People's Republic of China"
Karen Zita Haigh,"Raytheon BBN Technologies, Louis Park, USA"
Gianni Costa,"ICAR, CNR, Rende (CS), Italy"
Riccardo Ortale,"ICAR, CNR, Rende (CS), Italy"
Jorge Carlos Valverde-Rebaza,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil"
Alneu de Andrade Lopes,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos, Brazil"
Raghvendra Mall,"Department of Electrical Engineering, ESAT-SCD, Katholieke Universiteit Leuven, Louvain, Belgium"
Rocco Langone,"Department of Electrical Engineering, ESAT-SCD, Katholieke Universiteit Leuven, Louvain, Belgium"
Johan A. K. Suykens,"Department of Electrical Engineering, ESAT-SCD, Katholieke Universiteit Leuven, Louvain, Belgium"
Mario Cataldi,"École Centrale Paris, Paris, France"
Marie-Aude Aufaure,"École Centrale Paris, Paris, France"
Sean Eyre,"Department of Electrical Engineering and Computer Science, Network Science Center, U.S. Military Academy, West Point, USA"
Damon Paulo,"Department of Electrical Engineering and Computer Science, Network Science Center, U.S. Military Academy, West Point, USA"
Alysson Bolognesi Prado,"Institute of Computing, State University of Campinas, Unicamp, Campinas, Brazil"
Maria Cecília Calani Baranauskas,"Institute of Computing, State University of Campinas, Unicamp, Campinas, Brazil"
Stefan Stieglitz,"Department of Information Systems, University of Muenster, Muenster, Germany"
Linh Dang-Xuan,"Department of Information Systems, University of Muenster, Muenster, Germany"
Peter Laflin,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Alexander V. Mantzaris,"Department of Mathematics and Statistics, University of Strathclyde, Glasgow, UK"
Fiona Ainley,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Amanda Otley,"Bloom Agency, Green Sand Foundry, Leeds, UK"
Desmond J. Higham,"Department of Mathematics and Statistics, University of Strathclyde, Glasgow, UK"
Irena Pletikosa Cvijikj,"Information Management, ETH Zürich, Zurich, Switzerland"
Erica Dubach Spiegler,"Information Management, ETH Zürich, Zurich, Switzerland"
Florian Michahelles,"Information Management, ETH Zürich, Zurich, Switzerland"
Lucas A. Overbey,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Benjamin Greco,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Christopher Paribello,"MathWorks, Natick, USA"
Terresa Jackson,"Space and Naval Warfare Systems Center Atlantic, North Charleston, USA"
Antoine Boutet,"INRIA Rennes Bretagne Atlantique, Rennes, France"
Hyoungshick Kim,"Sungkyunkwan University, Suwon, Korea"
Ghufran Al-Shiridah,"Computer Engineering Department, Kuwait University, Kuwait, Kuwait"
Khaled Mahdi,"Chemical Engineering Department, Kuwait University, Kuwait, Kuwait"
Maytham Safar,"Computer Engineering Department, Kuwait University, Kuwait, Kuwait"
Nikolaos Mantas,"Department of Informatics, Aristotle University, Thessaloniki, Greece"
Samantha Lam,"Digital Enterprise Research Institute, NUI Galway, Galway, Ireland"
Daniel Schall 0001,"Siemens Corporate Technology, Vienna, Austria"
Cristiano André da Costa,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
Dante Zaupa,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
Jorge Luis Victória Barbosa,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
Rodrigo da Rosa Righi,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
João de Camargo,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
Nikolas Daroit,"Applied Computing Graduate Program (PIPCA), University of Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil"
Bogdan Gliwa,"Department of Computer Science, AGH University of Science and Technology, Kraków, Poland"
Anna Zygmunt,"Department of Computer Science, AGH University of Science and Technology, Kraków, Poland"
Jiawei Han 0001,"University Illinois at Urbana-Champaign, Champaign, USA"
Chhavi Rana,"Department of Computer Science Engineering, University Institute of Engineering and Technology, MD University, Rohtak, India"
Mathias R. Kuhnt,"Dresden University of Technology, Department of Sociology, Dresden, Germany"
Oliver A. Brust,"Dresden University of Technology, Department of Sociology, Dresden, Germany"
Ben Collingsworth,"Computer Sciences BioComplex Laboratory, Florida Institute of Technology, Melbourne, USA"
Jamal Jida,"Department of Informatics, College of Science, Lebanese University, Tripoli, Lebanon"
Mohammad Rifaie,"Department of Information Technology, RBC Royal Bank of Canada, Toronto, Canada"
Christopher McCubbin,"Sqrrl Data, Inc., Boston, USA"
James T. Halbert,"TASC Inc., Chantilly, USA"
Bénédicte Le Grand,"Sorbonne Universités, UPMC Univ Paris 06, UMR 7606, LIP6, Paris, France"
Carlo Morselli,"École de Criminologie, Université de Montréal, Montréal, Canada"
Laurie Grieshober,"Department of Epidemiology and Environmental Health, State University of New York and Buffalo, Buffalo, USA"
Neil Zhenqiang Gong,"Computer Science Division, UC Berkeley, Berkeley, USA"
Sandipan Sikdar,"Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India"
François Queyroi,"Sorbonne Universités, UPMC Univ Paris 06, UMR 7606, LIP6, Paris, France"
Remco Wijn,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Erik M. Boertjes,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Aibek Makazhanov,"Nazarbayev University Research and Innovation System, Astana, Kazakhstan"
Martine Collard,"LAMIA Lab, University of the French West Indies and Guiana, Pointe-à-Pitre, France"
Stephen L. Lenkey,"Division of Economic and Risk Analysis, U.S. Securities and Exchange Commission, Washington, USA"
Rob Procter,"Department of Computer Science, Warwick University, Coventry, England"
Alex Voss,"School of Computer Science, St Andrews University, Fife, Scotland"
Ahmed Abdeen Hamed,"Vermont EPSCoR, University of Vermont, Burlington, USA"
Xindong Wu 0001,"Department of Computer Science, University of Vermont, Burlington, USA"
Alan Rubin,"College of Medicine, University of Vermont, Burlington, USA"
Mingxiang Zhu,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China"
Tianjie Cao,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China"
Xiangying Jiang,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China"
Xuming Zhai,"Taiyuan Institute of Technology, Taiyuan, People's Republic of China"
Andreas Hotho,"Data Mining and Information Retrieval Group, University of Wuerzburg, Wuerzburg, Germany"
Peter-Paul van Maanen,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Bob van der Vecht,"Netherlands Organisation for Applied Scientific Research (TNO), Delft, The Netherlands"
Charles A. Kamhoua,"Information Directorate, US Air Force Research Laboratory (AFRL), Rome, USA"
Kevin A. Kwiat,"Information Directorate, US Air Force Research Laboratory (AFRL), Rome, USA"
Mir-Kamran Mahshid,"Department of Information and Communications Engineering, University Of Zanjan, Zanjan, Iran"
Ahmed Ibrahem Hafez,"Faculty of Computer and Information, Minia University, Minia, Egypt"
Aboul Ella Hassanien,"Scientific Research Group in Egypt (SRGE), Cairo, Egypt"
Aly A. Fahmy,"Scientific Research Group in Egypt (SRGE), Cairo, Egypt"
Mamadou Diaby,"Université Paris 13, Villetaneuse, France"
Tristan Launay,"Université Paris 13, Villetaneuse, France"
Cuneyt Gurcan Akcora,"DISTA, Università degli Studi dell'Insubria, Varese, Italy"
Amir Hossein Razavi,"Department of Computer Science, Université du Québec en Outaouais (UQO), Gatineau, Canada"
Dyah Anggraini,"Department of Computer Science, Université du Québec en Outaouais (UQO), Gatineau, Canada"
Rokia Missaoui,"Department of Computer Science, Université du Québec en Outaouais (UQO), Gatineau, Canada"
Jean Vaillancourt,"Department of Computer Science, Université du Québec en Outaouais (UQO), Gatineau, Canada"
Mohamed Talbi,"Department of Computer Science, Université du Québec en Outaouais (UQO), Gatineau, Canada"
Alexandros Nanopoulos,"Katholische Universität Eichstätt-Ingolstadt, Eichstätt, Germany"
Giuseppe Mangioni,"Department of Electrical Electronics and Computer Engineering, University of Catania, Catania, Italy"
Duen Horng Chau,"School of Computational Science and Engineering, Georgia Tech, Atlanta, USA"
Behrouz H. Far,"Department of Computer Science, Global University, Beirut, Lebanon"
Marcos A. C. Oliveira,"Florida Institute of Technology, Melbourne, USA"
Carmelo J. A. Bastos Filho,"University of Pernambuco, Recife, Brazil"
Ronaldo Menezes,"Florida Institute of Technology, Melbourne, USA"
András A. Benczúr,"Technical University Budapest, Budapest, Hungary"
Rui Zeng,"School of Information Science and Technology, Yunnan Normal University, Kunming, China"
Mahdi Abdelkafi,"Miracl laboratory/ISIM/University of Sfax, Sfax, Tunisia"
Karim Djemame,"Wireless Communication and Mobile Computing research group, Disney Research Zurich, Zurich, Switzerland"
Tanmoy Chakraborty 0002,"Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India"
Niloy Ganguly,"Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India"
Animesh Mukherjee 0001,"Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India"
Pedro Paredes 0002,"CRACS and INESC-TEC, DCC-FCUP, Universidade do Porto, Porto, Portugal"
Pedro Manuel Pinto Ribeiro,"CRACS and INESC-TEC, DCC-FCUP, Universidade do Porto, Porto, Portugal"
Adrien Guille,"ERIC Lab, University of Lyon 2, Bron, France"
Cécile Favre,"ERIC Lab, University of Lyon 2, Bron, France"
Günce Keziban Orman,"Department of Computer Engineering, Galatasaray University, Istanbul, Turkey"
Adham Beykikhoshk,"Centre for Pattern Recognition and Data Analytics (PRaDA), School of Information Technology, Deaking University, Geelong, Australia"
Ognjen Arandjelovic,"Centre for Pattern Recognition and Data Analytics (PRaDA), School of Information Technology, Deaking University, Geelong, Australia"
Dinh Q. Phung,"Centre for Pattern Recognition and Data Analytics (PRaDA), School of Information Technology, Deaking University, Geelong, Australia"
Svetha Venkatesh,"Centre for Pattern Recognition and Data Analytics (PRaDA), School of Information Technology, Deaking University, Geelong, Australia"
Terry Caelli,"Centre for Pattern Recognition and Data Analytics (PRaDA), School of Information Technology, Deaking University, Geelong, Australia"
Stefano Faralli 0001,"Dip. Informatica, La Sapienza, Rome, Italy"
Giovanni Stilo,"Dip. Informatica, La Sapienza, Rome, Italy"
Paola Velardi,"Dip. Informatica, La Sapienza, Rome, Italy"
Anthony Perez 0001,"Université d'Orléans, LIFO EA 4022, Orléans, France"
Zide Meng,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Fabien Gandon,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Ge Song 0001,"INRIA Sophia Antipolis Méditerranée, Sophia Antipolis, France"
Faraz Zaidi,"Levich Institute and Physics Department, City College of New York, New York, USA"
Mohammad Qasim Pasta,"Karachi Institute of Economics and Technology, Karachi, Pakistan"
Arnaud Sallaberry,"Karachi Institute of Economics and Technology, Karachi, Pakistan"
Guy Melançon,"Usman Institute of Technology, Karachi, Pakistan"
Jalal S. Alowibdi,"Faculty of Computing and Information Technology, University of Jeddah, Jeddah, Saudi Arabia"
Sohaib Ghani,"KACST GIS Technology Innovation Center, Umm Al-Qura University, Makkah, Saudi Arabia"
Mohamed F. Mokbel,"KACST GIS Technology Innovation Center, Umm Al-Qura University, Makkah, Saudi Arabia"
Giles Oatley,"Department of Computing & Information Systems, Cardiff Metropolitan University, Cardiff, UK"
Tom Crick,"Department of Computing & Information Systems, Cardiff Metropolitan University, Cardiff, UK"
Caitlin VerSchneider,"Nazareth College, Rochester, USA"
Rocío Abascal-Mena,"Information Tecnhology Department, Universidad Autónoma Metropolitana-Cuajimalpa, Mexico City, Mexico"
Rose Lema,"Information Tecnhology Department, Universidad Autónoma Metropolitana-Cuajimalpa, Mexico City, Mexico"
Florence Sèdes,"Institut de Recherche en Informatique de Toulouse, Toulouse, France"
Jorge Brea,"Grandata Labs, Buenos Aires, Argentina"
Javier Burroni,"Grandata Labs, Buenos Aires, Argentina"
Pablo Blanc,"IMAS, UBA-CONICET, FCEN, Ciudad Universitaria, Buenos Aires, Argentina"
Michael Steurer,"Know-Center, Graz, Austria"
Masahiro Hamasaki,"National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan"
Bruno Vicente Alves de Lima,"Departamento de Computação, Universidade Federal do Piauí, Teresina, Brasil"
Vinicius Ponte Machado,"Departamento de Computação, Universidade Federal do Piauí, Teresina, Brasil"
Lucas A. Lopes,"Departamento de Computação, Universidade Federal do Piauí, Teresina, Brasil"
Maha Ben Kraiem,"MIR@CL, University of Sfax, Sfax, Tunisia"
Jamel Feki,"MIR@CL, University of Sfax, Sfax, Tunisia"
Kaïs Khrouf,"MIR@CL, University of Sfax, Sfax, Tunisia"
Franck Ravat,"IRIT, University of Toulouse, Toulouse Cedex 9, France"
Olivier Teste,"IRIT, University of Toulouse, Toulouse Cedex 9, France"
Kent Wickstrøm Jensen,"Department of Entrepreneurship and Relationship Management, University of Southern Denmark, Kolding, Denmark"
Thomas Schott,"Department of Entrepreneurship and Relationship Management, University of Southern Denmark, Kolding, Denmark"
Xiaoling Wang,"Institute for Data Science and Engineering, East China Normal University, Shanghai, China"
Aoying Zhou,"Institute for Data Science and Engineering, East China Normal University, Shanghai, China"
Avi Rosenfeld,"Department of Industrial Engineering, Jerusalem College of Technology, Jerusalem, Israel"
Siddharth Bora,"Indian Institute of Technology, New Delhi, India"
Harvineet Singh,"Indian Institute of Technology, New Delhi, India"
Anirban Sen,"Indian Institute of Technology, New Delhi, India"
Amitabha Bagchi,"Indian Institute of Technology, New Delhi, India"
Parag Singla,"Indian Institute of Technology, New Delhi, India"
Amina Madani,"LRDSI Laboratory, Sciences Faculty Blida 1 University, Soumaa Road Blida, Algeria"
Omar Boussaid,"ERIC Laboratory, Lumiere Lyon 2 University, Lyon, France"
Djamel Eddine Zegour,"LCSI Laboratory, National High School of Computer Science, Algiers, Algeria"
Erick Stattner,"LAMIA Lab., University of the French West Indies and Guiana, Pointe-à-Pitre, France"
Ahmed Al Dhanhani,"Etisalat British Telecom Innovation Center, Abu Dhabi, United Arab Emirates"
Mohamed Nader Jelassi,"Université de Tunis El-Manar, Faculté des Sciences de Tunis, LIPAH, Tunis, Tunisia"
Sadok Ben Yahia,"Clermont Université, Université Blaise Pascal, Clermont-Ferrand, France"
Vladimir Barash,"New York, USA"
Sara Hajian,"Eurecat-Technology Centre of Catalonia, Barcelona, Spain"
Francesco Bonchi,"Eurecat-Technology Centre of Catalonia, Barcelona, Spain"
Vladimir A. Oleshchuk,"Department of Information and Communication Technology, Faculty of Engineering and Science, University of Agder, Kristiansand, Norway"
Chenniappan Chellappan,"Department of Computer Science and Engineering, GKM College of Engineering & Technology, Anna University, Chennai, India"
Gregory Tauer,"Data Science and Information Fusion Group, CUBRC, Inc., Buffalo, USA"
Shannon Conley,"Department of Software Engineering, Firat University, Elazig, Turkey"
Sarwar Kamal,"Department of Computer Science and Engineering, East West University Bangladesh, Dhaka, Bangladesh"
Mohammad Shamsul Arefin,"Department of Computer Science and Engineering, Chittagong University of Engineering and Technology, Chittagong, Bangladesh"
Arash Nobari,"Industrial Engineering Department, Faculty of Engineering, Bu-Ali Sina University, Hamedan, Iran"
Vahid Khodakarami,"Industrial Engineering Department, Faculty of Engineering, Bu-Ali Sina University, Hamedan, Iran"
Reza Eslamipoor,"Industrial Engineering Department, Faculty of Engineering, Yazd University, Yazd, Iran"
