name,affiliation
Sajedul Rahim Talukder,Edinboro University
Sandeep Purao,Bentley University
Sarah Alismail,Claremont Graduate University
Shakked Lev,University of Haifa
Sharon Goldwater,University of Edinburgh
Shenghua Liu,Chinese Academy of Sciences
Sibel Adali,Rensselaer Polytechnic Institute
Sijia Xiao,Georgia Institute of Technology
Simo Järvelä,Aalto University
Sruthy Agnisarman,Clemson University
Stephen R. Corman,Arizona State University
Steve T. K. Jan,Virginia Tech
Steven P. Dow,University of California - San Diego
Sung-Ju Lee,KAIST
Susan C. Herring,University of Indiana Bloomington
Susan Gasson,Drexel University
Taesik Gong,KAIST
Tiago Santos,Graz University of Technology
Tianshu Lyu,Peking University
Todd Lynes,University of Southampton
Tuure Tuunanen,University of Jyväskylä
Uraz Yavanoglu,Gazi University
Walid Magdy,University of Edinburgh
Wanru Li,George Mason University
Weichen Liu,University of California - San Diego
Wendy Moncur,University of Dundee
Wenjun Zhou 0001,University of Tennessee
Woojeong Kim,Ajou University
Xianqi Yu,Shandong University
Xiaoyun Huang,University of Maryland - College Park
Xin Li,Shandong University
Yan Zhang 0004,Peking University
Yiding Zhang,Beijing University of Posts and Telecommunications
Yiftach Nagar,University of Haifa
Yisi Sang,Syracuse University
Yla R. Tausczik,University of Maryland - College Park
Yoram M. Kalman,Open University
Yubo Kou,Florida State University
Yun Huang 0003,Syracuse University
Yunhe Feng,University of Tennessee
Yuqing Sun,Shandong University
Zahra Ashktorab,IBM
Zheng Lu 0005,University of Tennessee
Zhibo Wang,Wuhan University
Andre Ferretto,us
Arnim Bleier,GESIS - Leibniz Institute for the Social Sciences
Clemens Lechner,GESIS - Leibniz Institute for the Social Sciences
Fabian Flöck,GESIS - Leibniz Institute for the Social Sciences
Fred Morstatter,USC Information Sciences Institute
Ioanna Lykourentzou,Luxembourg Institute of Science and Technology
Jorge Saldivar,Catholic University
Lidong Bing,Alibaba Group
Luca Cernuzzi,Catholic University
Salvador Ruiz-Correa,Potosino Institute of Scientific and Technology Research
Simon Walk,us
